CÓDIGO;MATERIAL;DIM1;DIM2;PERIMETRO;MEDIDA
CMPRELE001478;ELETRODUTO ACO GALVANIZADO 1 1.2. 3M GF GALVANIZADO A FOGO;3000;1;100;UN
CMPRELE002502;ELETROCALHA PERFURADA 100X100MM GF GALVANIZADO A FOGO;3000;1;100;UN
CMPRELE002786;LEITO SEMI PESADO 400X100MM GF GALVANIZADO A FOGO;3000;1;100;UN
CMPRELE001238;ELETROCALHA LISA 100X100X3000MM C.VIRL CH16 GF;3000;1;100;UN
CMPRHVC000595;SDACI- TUBULACAO SCH.40 2. ACO GALV. S. COST. PINT PINTADO EM VERMELHO C. ROSCA NPT -TC.NPT.SCH40.200;3000;1;100;UN
CMPRHVC000724;SDACI - TUBULACAO 25MM CPVC - BARRA 3 METROS;3000;1;100;UN
CMPRELE004463;ELETROCALHA LISA 100X100X3000MM CH.16 GE S. VIROLA;3000;1;100;UN
CMPRELE004568;ELETROCALHA LISA 100X50X3000 MM CH14 C. VIROLA GF;3000;1;100;UN
CMPRELE000216;ELETROCALHA PERFURADA 100X50X3000MM CH16 GF C.VIRL GALVANIZADO A FOGO;3000;1;100;UN
CMPRELE003873;LEITO ARAMADO 100X100X3000MM 1.4. GE ELETROLITICO;3000;1;100;UN
CMPRHVC000711;SDACI-TUBULACAO SCH 401.2.ACO GALV S.COST PINT EM VERMELHO C. ROSCA NPT;3000;1;100;UN
CMPRELE003558;LEITO ARAMADO 200X50X3000MM GE ELETROLITICO;3000;1;100;UN
CMPRELE003809;LEITO PARA CABOS 300X100 MM SEMI PESADO GE ELETROLITICO;3000;1;100;UN
CMPRELE003592;LEITO PESADO ABA EXT. 200X100X3000MM GE ELETROLITICO;3000;1;100;UN
CMPRELE003724;LEITO ARAMADO 500X100X3000MM .1.4. GE;3000;1;100;UN
CMPRELE003844;LEITO P.CABOS 800X100 TRAVESSA 38X38 LEITO PES. GE ELETROLITICO;3000;1;100;UN
CMPRELE003727;LEITO ARAMADO 400X100X3000MM . 1.4. GE ELETROLITICO;3000;1;100;UN
CMPRELE003798;PERFILADO PERFURADO 38X38X1000 CH14 GE ELETROLITICO;3000;1;228;UN
CMPRELE004870;ELETROCALHA PERFURADA 200X100X3000MM GE;3000;1;100;UN
CMPRHVC000747;TUBO BORRACHA ELASTOMERICA DIA 25,4 (1) ESP. 13MM - 2 METROS;2000;1;70;UN
CMPRHVC000998;TUBO 2.1.2'' EM ACO CARBONO SEM COSTURA ASTM A-53  GR-B SCH 40 - 6 METROS;6000;1;200;UN
CMPRHVC001048;TUBO 3'' EM ACO CARBONO SEM COSTURA ASTM A-53  GR-B SCH.40 - 6 METROS;6000;1;240;UN
CMPRELE003788;ELETROCALHA PERFURADA 100X100 MM GE ELETROLITICO;3000;1;100;UN
CMPREST000956;CANALETA FUNDO C/ TAMPA ENGEDUTO ED 73/2 PBR - 70MMX30MMX3M - AL. PINT BRANCA;3000;1;200;UN
CMPRHVC001003;CHAPA EXPANDIDA PERFURADA LOSANGULAR 14X32X2,65 MM, HMT-14E, ACABAMENTO NATURAL, DIMENSÃO 1500X3700 MM;1500;3700;1;UN
CMPREST000962;PERFIL W 200 X 52,0 (H) - ACO ASTM A572 G50 - 12M;12000;1;1100;UN
CMPREST000963;PERFIL W 250 X 32,7 - ACO ASTM A572 G50 - 12M;12000;1;772;UN
CMPREST000268;CHAPA ACO 19 X 1200 X 3000MM (ASTM A36);1200;3000;1;UN
CCSMIND003394;PAINEL MPU 10 MM X 2,0 M X 1,2 M (2,4M2);2000;1200;1;UN
CMPRELE006201;BARRAMENTO FLEXIVEL 5X32X1MM(630A) DE 2MT REF BFN 630/2;2000;1;160;UN
CMPRELE006039;BARRA DE COBRE LISA 30X5MM L=3M;2000;1;150;UN
CMPRELE003672;BARRA ROSCADA 1.2 X 1000MM GE;1000;1;39.9;UN
CMPRELE005491;BARRA DE COBRE LISA 40X10MM L=3M;2000;1;1;UN
CMPRELE006038;BARRA DE COBRE LISA 160X10MM L=3M;2000;1;1;UN
CMPRELE005492;BARRA DE COBRE LISA 30X10MM L=3M;2000;1;1;UN
CMPRELE000425;BARRA DE COBRE LISA 80X10MM  L=3M;2000;1;1;UN
CMPRELE000423;BARRA DE COBRE LISA 100X10MM L=3M;2000;1;1;UN
CMPRELE003108;BARRA DE COBRE LISA 120X10MM L=3M;2000;1;1;UN
CMPRHVC001145;CMPRHVC001145- CHAPA PERFURADA MALHA QUADRADA 8X8 EC=11 ESPESSURA 2,65 GALVANIZADA A FOGO 3000X1500MM;3000;1500;1;UN
CMPREST000314;PERFIL U ACO A36 100 X 40 X 3.2 MM 6 M;6000;1;1;UN
CMPRHVC001155; TUBO DE COBRE DIA 38,10 (1.1/2) ESP.1,59 (1.16) - 5 METROS ;5000;1;1;UN
CMPREST000117;CHAPA ACO CARBONO 3.0 X 1200 X 3000;1200;3000;1;UN
CMPREST000932;CHAPA ACO - 1,25 X 1300 X 3000MM - NBR 7008 - Z100 - CRIST. MIN.;1300;3000;1;UN
CMPRELE003953;BARRA CHATA DE COBRE ELETROLITICO 1X1.2 (25.40 X 12.70) MM;2000;1;1;UN
CMPRELE002865;BARRA CHATA DE COBRE ELETROLITICO 1.1.4 X 3.8 (BARRA DE 3 METROS);3000;1;1;UN
CMPRELE001982;BARRA COBRE 015.87 MM X 003.17 MM-5.8 X 1.8;3000;1;1;UN
CMPREST001039;CHAPA ACO - 1,25 X 1300 X 3000MM - NBR 7008 - Z100 - CRIST. MIN.;3000;1300;1;UN
CMPRELE006896;CHAPA ISOLANTE MATEX/GPO3 1250 X 1200 X 10MM;1250;1200;1;UN
CMPREST000300;CHAPA INOX 304 2 X 1200 X 3000 MM;1200;3000;1;UN
CMPRHVC001004;TUBO DE COBRE DIA 32 (1.1.4) ESP. 0,79 (1/32) 5 METROS;5000;1;1;UN
