PN;Roteiro;;Cod_Roteiro;Descricao_Roteiro;Procedencia;Destino;;OPER;Descricao_OPER;;ME1;ME2;ME3;ME4;ME5;ME6;ME7;ME8;ME9;ME10;PER1;PER2;PER3;PER4;PER5;MF1;MF2;MF3;MF4;MF5;MF6;MF7;MF8;MF9;MF10;MF11;MF12;MF13;MF14;MF15;MF16;MF17;MF18;MF19;MF20;MF21;MF22;MF23;FP1;FP2;FP3;FP4;FP5;FP6;FP7;FP8;FP9;FP10;FP11;FP12;FP13;FP14;FP15;FP16;FP17;FP18;SCJ1;SCJ2;SCJ3;FB1;EXP1;EXP2;PER6;MF24;MF25;MF26;MF27;ME11;ME12;CD1
TST-00119-001;ME1;;MF20;Instalação dos Acabamentos (Roxtec + Fibras);Planta 4;Planta 4;;35;MONTAGEM DE HARDWARE MECÂNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MF21;Piso;Planta 4;Planta 4;;36;MONTAGEM DE FRIGORÍGENAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MF22;Diviósorias Internas;Planta 4;Planta 4;;37;MONTAGEM DE EQUIPAMENTOS MECÂNICOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MF23;Posicionamento de  Base dos Equipamentos + Suportes;Planta 4;Planta 4;;38;TESTE VÁCUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP1;01 SERRA;Planta 3;Planta 3;;39;ABERTURA DE ACESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP2;01 SERRA + 04 MONTAGEM E SOLDA;Planta 3;Planta 3;;40;INSPEÇÃO VISUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP3;01 SERRA + 04 MONTAGEM E SOLDA + 06 P. LÍQUIDA;Planta 3;Planta 3;;41;TESTE DE ESTANQUEIDADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP4;01 SERRA + 04 MONTAGEM E SOLDA + 07 P. ELETROSTÁTICA;Planta 3;Planta 3;;42;INSPEÇÃO DA QUALIDADE PAINÉIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP5;01 SERRA + 06 P. Líquida;Planta 3;Planta 3;;43;MONTAGEM ESTRUTURAL BASE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP6;01 SERRA + 07 P. Eletrostática;Planta 3;Planta 3;;44;SOLDAGEM ESTRUTURAL BASE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
